id,name,slug,url,country,n_series,prev_date,prev_value,latest_date,latest_value,count_booked,count_comments,count_liked,description
12,美國-實質GDP,real-gdp-growth,https://www.macromicro.me/charts/12/real-gdp-growth,us,2,2025-10-01,0.5,2026-01-01,1.6,1306,27,0,"國內生產毛額（Gross Domestic Product，GDP），指一國在一段特定期間內，所生產的最終勞動或商品的總價值，為衡量一個國家經濟狀況和發展水平的重要經濟指標。未剔除通膨影響前為「名目 GDP 」，剔除通膨影響則稱為「實質 GDP 」，較能反映真實經濟成長。  GDP 統計方式每個國家略有不同，美國採直接公佈季調年化 GDP 絕對值，將當季數值經季節調整後乘以 4，折算成年度數據（Seasonally adjusted annual rate, SAAR）的絕對值，因此美國公佈的 GDP 可以直接視為當季預估的全年 GDP 絕對值。  而 GDP 數據經上述調整後，可以再分別計算「年增率」及「季增年率」。 1. 年增率：將今年當季與去年同季相比。 2. 季增年率：將最新一季的年度數據與前一季做對比，並換算成年率（4 次方）。  美國公佈的 GDP 市場多關注季增年增率，但該數值以單季增速進行年化，所以變動較劇烈，M平方認為年增率同樣重要，美國 GDP 年增率若能維持在 2%，代表經濟仍然強勁！  註：上述計算各國都有自己的慣用方式。如美國慣用季調年化 GDP 絕對值，並分別計算成年增率、季增年率；歐盟則同時公佈季增率、年增率；日本、韓國及台灣同時公佈 3 種經濟成長率，其中台灣市場習慣觀察年增率。"
53,美國-領先指標(經濟諮商局)＆GDP,leading-gdp,https://www.macromicro.me/charts/53/leading-gdp,us,2,2025-12-01,-3.937007874015748,2026-01-01,-3.846153846153851,1179,9,0,此領先指標為經濟諮商局公佈，由以下 10 項指標統整編製而成。  1. 製造業員工平均每週工時 2. 初次申請失業救濟金人數 3. 製造業新訂單 - 消費性用品及相關原物料 4. ISM 新訂單 5. 製造業新訂單 - 扣除航空之非國防資本財 6. 建築許可 - 新增私人房屋單位數量 7. S&P 500 股價指數 8. 領先信用（貸）指數 9. 10 年期國庫券與聯邦基金之利率差 10. 消費者對商業狀況的平均預期  註：通常年增率出現衰退（< 0%）時，美國 GDP 皆在未來 2 至 3 季出現明顯下滑，屆時需特別留意衰退風險。
108463,美國-MM景氣衰退機率,us-mm-recession-probability,https://www.macromicro.me/charts/108463/us-mm-recession-probability,us,1,2026-03-01,20.9308,2026-04-01,16.0622,127,0,0,M平方根據美國主要經濟指標，並利用動態邏輯迴歸模型（Dynamic Logistic Regression Model）編製 MM 美國景氣衰退機率。主要參考變數有：非農就業成長、失業率、 ISM 製造業 PMI 、工業生產指數等 7 項指標。  M平方參考 NBER 、 OECD 等機構的研究定義美國經濟衰退，每次經濟衰退的情況不同，一般來說會伴隨 GDP 出現負成長、失業率上升、股市大跌等情況。  本指標於每月第 2 週週一更新當月最新數據，因成分變數延後公佈或修正值，絕對值將相應調整。亦將於每輪循環後追蹤最新金融環境判斷變數的有效性，以決定是否增加或減少相關變數。
6,美國-非農vs.失業率,employment-condition,https://www.macromicro.me/charts/6/employment-condition,us,2,2026-04-01,179.0,2026-05-01,172.0,2935,25,0,美國就業市場調查主要分為：企業端調查（CES）及電話問卷調查（CPS），非農就業人口數月增（以下簡稱非農月增）、失業率分屬於兩項調查。其中，非農月增變化可以觀察短期新增的就業動能，失業率則代表長期就業市場的趨勢。  經濟穩健、強勁時期，非農月增通常會落在 15 ~ 20 萬之間、失業率則會不斷降低。而當經濟步入衰退時，非農月增會率先翻負，接著失業率才開始回升，反映就業市場放緩的趨勢。  其中失業率可以與聯準會公佈的季度經濟預測（Summary of Economic Projections，SEP）中，長期失業率預估數字進行比較，當失業率低於長期失業率預估，通常代表就業市場較緊俏，反之則較寬鬆。
20,美國-每小時薪資&僱傭成本指數(年增率),wage-growth,https://www.macromicro.me/charts/20/wage-growth,us,2,2026-04-01,3.57,2026-05-01,3.45,849,5,0,"每小時薪資，是統計僱員加班、晚班加給及小費的薪資總收入，但不包含公司福利、不定期獎金及工資稅等，可實際反映僱員收入。  美國僱傭成本指數（Employment Cost Index, ECI），是統計企業支付勞工薪資、健康保險等福利的成本，ECI 的增長會大幅降低企業利潤，並提高企業轉嫁成本給消費者的可能，因此被聯準會視為薪資通膨螺旋是否發生的重要指標。"
4,美國-零售銷售-汽車相關,us-retail-sales-motor-vehicle-parts-dealers,https://www.macromicro.me/charts/4/us-retail-sales-motor-vehicle-parts-dealers,us,2,2026-03-01,-1.76,2026-04-01,-1.16,478,0,0,"美國零售銷售額（Retail Sales）是由美國商務部普查局（U.S. Census Bureau）隨機抽樣 12,000 家企業所做的統計調查。其中，汽車銷售（含二手車）與維護佔整體零售銷售額約 20 ~ 22%，是評估美國經濟的關鍵風向球。  根據 NAICS Code 定義，汽車銷售主要業務包括：新舊車零售展示、週邊零組件銷售、售後服務與維修、車輛登記註冊與融資服務。而納入統計的車輛款式有：一般乘用轎車、運動型多功能休旅車、小型客貨車、輕型卡車。"
7,美國-ISM製造業&非製造業指數,ism,https://www.macromicro.me/charts/7/ism,us,2,2026-04-01,52.7,2026-05-01,54.0,815,2,0,美國製造業與非製造業廠商預期狀況，以50為基準點。
5,美國-長短期公債利差vs.GDP年增率,us-business-cycles,https://www.macromicro.me/charts/5/us-business-cycles,us,2,2025-07-01,2.3,2025-10-01,2.0,636,0,0,長天期公債殖利率常被拿來檢視該國景氣通膨狀況，短天期則常被拿來預測該國利率決策，兩者利差可代表著景氣循環的四個階段：  1. 經濟成長階段：經濟活動強勁、通膨預期溫和，短利受央行升息影響上升較快，長短利差持續縮窄。  2. 經濟過熱階段：經濟活動過熱、通膨預期強勁，迫使央行加快升息導致短利超越長利，長短利差翻負。  3. 經濟衰退階段：通膨抑制消費，利率高檔引發違約風險，整體經濟轉弱，央行降息刺激經濟，短利快速下降，利差負值收斂翻正。  4. 經濟復甦階段：央行維持寬鬆，債券殖利率曲線維持穩定正斜率（長利大於短利），利差高檔持穩。
3,美國-耐久財新訂單,durable-goods,https://www.macromicro.me/charts/3/durable-goods,us,2,2026-03-01,9.96,2026-04-01,10.44,977,3,0,"耐久財新訂單（Durable Goods Orders）是指「預計能被使用超過 3 年以上的商品」之訂單狀況，為美國普查局（U.S. Census Bureau）於每個月 25 日前後提供前月「製造業出貨、存貨與訂單報告（Manufactures’ Shipment, Inventories, and Orders）」裡非常重要的一項數據。由於製造商在擬定生產計畫前必須先有訂單，進而帶動生產，因此，耐久財新訂單被視為製造業景氣的領先指標。  在這份報告中，「耐久財」相對於「非耐久財」更備受關注，其原因為非耐久財（如衣服、食品）的需求變動不大且容易預測，因此真正值得留意、影響製造業景氣的是「耐久財訂單」。  耐久財訂單中又可細分成「運輸設備」如飛機採購、「國防設備」如軍機採購、「資本財」如企業機器、「一般消費性耐久財」如汽車、家電、電腦與電子產品等。  不過，由於耐久財訂單容易受到國防設備（軍機）、運輸設備（飛機）等金額龐大的訂單影響，波動較為劇烈，因此建議將這兩者扣除後再進行觀察。排除軍機、軍艦以及飛彈等非民間相關的「非國防資本財」，更是首要觀察的指標。"
11,美國-房價指數(年增率),house-condition,https://www.macromicro.me/charts/11/house-condition,us,2,2026-01-01,331.801,2026-02-01,332.098,472,0,0,從房價指數的年增率變化可以看出，美國房地產循環約 18 年一次，如 1990 、 2008 年的衰退均與房地產崩盤有關。  房價走勢也受升、降息影響，當聯準會啟動升息循環，美國房價漸受壓抑，整體房市年增動能趨緩，反之亦然。
10,美國-消費者物價指數[CPI],cpi,https://www.macromicro.me/charts/10/cpi,us,3,2026-03-01,3.29,2026-04-01,3.78,4858,6,0,"美國消費者物價指數（Consumer Price Index, CPI），是普遍用來觀察一國通膨的指標，同時也是各國央行制定貨幣政策的重要觀察數據。  美國聯準會的三大目標為：1. 促進最大就業；2. 穩定國內物價；3. 長期適當的利率。聯準會提出 2% 通膨的目標，並於多年以來重申至今，讓美國經濟在增長的同時，給予市場評估經濟是否過熱、聯邦基準利率是否合理的依據。  核心 CPI 則扣除價格波動較大的食品與能源項目，更能真實反映家庭單位購買大宗商品、服務價格的實際狀況，也能避免暫時性國際供需因素導致的波動，是市場更加關注的重點。  註：SA 、 NSA 分別為經季節性調整，以及非經季節性調整。經季節性調整排除每年固定的週期性因素，可以更清楚地觀察數據趨勢；而非經季節性調整則通常用於團體勞動合約、養老金計畫等實際支付條款中，也是美國勞動部新聞稿及市場常見使用的數據。"
